序号,区市县,街道,采样点名称,采样点地址,开放时间,联系电话
193,金普新区,光中街道,大连鼎华医院,大连市金普新区光中街道汉正路8号鼎华医院正门,周一至周日 8：00-15：00,87711120
194,金普新区,光中街道,大连市金州区香水路向应公园西门（大连和合）,大连市金普新区光中街道解放路1号,周一至周日 8：00-18：00,87546006
195,金普新区,光中街道,金州区斯大林路677号阳光药房停车场（大连和合）,大连市金普新区光中街道斯大林路677号,周一至周日 8：00-18：00,87546006
196,金普新区,站前街道,大连中贞安科医院,大连市金普新区站前街道五一路162号,周一至周日 7：00－21：00,87688888
197,金普新区,站前街道,大连绅通中医医院,大连市金普新区站前街道龙湾路5号,周一至周日 8：00-15：00,18242054512
198,金普新区,站前街道,精美达金泉路采样点,大连市金普新区站前街道金泉路967-6号（宝辰口腔门前）,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
199,金普新区,站前街道,金州区拥军路1号（大连金发地批发大市场）（大连和合）,大连市金普新区站前街道拥军路1号,周一至周日 8：00-18：00,87546006
200,金普新区,站前街道,精美达金州火车站采样点,大连市金普新区金州火车站出口,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
201,金普新区,友谊街道,大连德合医院,大连市金普新区友谊街道民主街34号大连市德合医院,周一至周日 8：00-17：00,87676699
202,金普新区,友谊街道,大连市金州区民主街(星印学前教育东侧)（大连和合）,大连市金普新区友谊街道鹏程家园43-3号,周一至周日 8：00-18：00,87546006
203,金普新区,友谊街道,精美达海湾城采样点,大连市金普新区友谊街道滨海路2号 海湾城 门口,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
204,金普新区,友谊街道,精美达金州和平路采样点,大连市金普新区友谊街道和平路与民众街交叉口,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
205,金普新区,友谊街道,精美达德合医院采样点,大连市金普新区友谊街道宁海小区，33B，大连市德合医院门前,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
206,金普新区,友谊街道,精美达向应广场采样点,大连市金普新区向应广场西邮政储蓄银行门前,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
207,金普新区,先进街道,大连锦和盛中医院,大连市金普新区先进街道东山路200-7、8、9、10号,周一至周日 8：00-17：00,66171333
208,金普新区,先进街道,大连绅通新医院,大连市金普新区先进街道响泉街七号,周一至周日 8：00-16：00,15842419777
209,金普新区,拥政街道,大连金普新区国益堂中医医院,大连市金普新区拥政街道八一路社区御河一号93-13,周一至周日 7：30-14：00,87206669
210,金普新区,拥政街道,精美达金州古城区采样点,大连市金普新区拥政街道古城丙区6-3号 仁微诊所门前,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
211,金普新区,拥政街道,大连市金州区永安发街悦泰山里3期（大连和合）,大连市金普新区拥政街道永安大街金州新区中心汽车站北侧约130米,周一至周日 8：00-18：00,87546006
212,金普新区,三十里堡街道,大连市金州区第三人民院,大连市金普新区三十里堡街道国泰路526号,周一至周日（限号）8：00-11：00、13：00-15：00,87360273
213,金普新区,三十里堡街道,精美达三十里堡采样点,大连市金普新区三十里堡街道北乐门诊前,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
214,金普新区,金石滩街道,大连金石滩医院,大连市经济技术开发区金石滩街道金石滩青石路99号,周一至周日 8：00-11：00、13：00-16：30,87902617
215,金普新区,金石滩街道,大连市金州区金石滩轻轨站（公交站）附近（大连和合）,大连市金普新区金石滩轻轨站（公交站）附近,周一至周日 8：00-18：00,87546006
216,金普新区,二十里堡街道,二十里堡街道卫生院,大连市金普新区二十里堡街道广富路 二十里堡医院 院内,周一至周日 8：00-11：00、13：00-15：00,87380368
217,金普新区,二十里堡街道,精美达十三里采样点,大连市金普新区二十里堡街道十三里金城帝景小区大门右侧,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
218,金普新区,二十里堡街道,精美达一方天鹅湖采样点,大连市金普新区二十里堡街道一方天鹅湖小区物业办公室门前,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
219,金普新区,华家街道,华家卫生院,大连市金普新区华家街道华家村南山518号,周一至周日 8：00-10：00,13109824577
220,金普新区,石河街道,石河卫生院,大连市金普新区石河街道石河村186号,周一至周日 8：00-11：00、13：00-15：30,87260205
221,金普新区,炮台街道,炮台街道炮台中心卫生院,大连市金普新区炮台街道炮台中心卫生院,周一至周五 13：00-14：30 周六、周日上午8:00-10:30,85252512/85252598/85252427
222,金普新区,复州湾街道,复州湾卫生院,大连市金普新区复州湾街道湖北路400号,周一、周三、周五 13：30-14：00,85202166
223,金普新区,登沙河街道,大连市金州区第二人民医院采样点（大连谱尼医学）,大连市金普新区登沙河街道关村大关家沟39号,周一至周日 8：30-12：00、13：00-17：00,87923651
224,金普新区,登沙河街道,大连和康医院,大连市金普新区登沙河街道姜家村汇金路,周一至周日 8：00-14：00,87237120
225,金普新区,亮甲店街道,亮甲店中心卫生院,大连市保税区亮甲店街道镇西街179号,周一、周二、周三、周五 12：30-13：30,87280252
226,金普新区,向应街道,向应卫生院,大连市金普新区向应街道小关屯385号向应卫生院,周一、周三，周五，周日 13：00-14：：00,87290120
227,金普新区,董家沟街道,大连经济技术开发区董家沟社区卫生服务中心（大连和合医学）,大连市经济技术开发区董家沟街道天寿街72-10号附近,周一至周日 8：00-18：00,87546006
228,金普新区,董家沟街道,精美达董家沟采样点,大连市金普新区董家沟街道卧龙小区,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
229,金普新区,得胜街道,大连经济技术开发区得胜卫生院（晶泰医学）采样点,大连市经济技术开发区马桥子街道黄海西路松苑街1号，停车场内,周一至周日 8：00-11：00、13：00-14：00,62786033
230,金普新区,得胜街道,得胜（晶泰医学）采样点,大连市金普新区得胜街道得胜村张家屯3号,周一至周日 8：00-11:00；13:00-16：00,400-0768-568
231,金普新区,大魏家街道,大魏家卫生院,大连市金普新区大魏家街道大魏家村文化广场,周一、周三、周五8：00-10：30,87890311
232,金普新区,七顶山街道,七顶山卫生院,大连市金州区七顶山街道十七路11号,周一、周三、周五8：00-10：30,87881120 
233,金普新区,杏树街道,杏树卫生院,大连市金州区杏树街道杏树村和谐街1号 ,周一至周五 8：00-10：30,87250708
234,金普新区,董家沟街道,大检医学检验实验室采样点,大连市金普新区铁山东路102号大连市检测科技园院内方舱实验室,周一至周日8：00-17:00,15765696664
235,高新区,凌水街道,小平岛社区卫生服务中心,大连市高新区邻海街204号,周一至周日7：30-11：30； 12：30-15：30,65975079
236,高新区,七贤岭街道,七贤岭社区卫生服务中心,大连市高新区高能街27号,周一至周日7：30-20：00,39677777
237,高新区,凌水街道,青春公社卫生服务站,大连市高新区静恬街46号,周一至周日8：00-20：00,39677777
238,长兴岛,长兴岛街道,长兴医院,大连市长兴岛经济技术开发区长兴岛街道三堂村长兴医院,周一至周日8:00-11:00；12:30-15:00,85282536
239,长兴岛,交流岛街道,交流岛卫生院,大连市长兴岛经济技术开发区交流岛街道马路村交流岛卫生院,周一至周日8:00-11:00；12:30-14:00,85230026
