序号,区市县,街道,采样点名称,采样点地址,开放时间,联系电话
205,甘井子区,红旗街道,万和社区东广场,大连市甘井子区红凌路223号东侧,周三、周六8：00-11：00、13：30-18：00,84202836
206,甘井子区,红旗街道,惠泽南园小广场,大连市甘井子区惠泽南园7-3,周三、周六8：00-11：00、13：30-18：00,82858100
207,甘井子区,红旗街道,润秀社区西侧广场,大连市甘井子区红旗西路恩泽东园10号西侧,周三、周六8：00-11：00、13：30-18：00,84010066
208,甘井子区,红旗街道,棠梨党建文化广场,大连市甘井子区棠梨东街11号（门前广场棠梨党建文化广场）,周三、周六8：00-11：00、13：30-18：00,84289778
209,甘井子区,红旗街道,柳树党建广场,大连市甘井子区柳树南街欧洲小镇,周三、周六8：00-11：00、13：30-18：00,82653307
210,甘井子区,红旗街道,顺林街老年活动室西侧小广场,大连市甘井子区顺林街老年活动室西侧小广场（庆莲超市门口）,周三、周六8：00-11：00、13：30-18：00,84280557
211,甘井子区,红旗街道,刘家社区,大连市甘井子区红旗街道刘家社区院内,周三、周六8：00-11：00、13：00-18：00,81894517
212,甘井子区,辛寨子街道,大东沟社区,大连市甘井子区大东沟春田广场,周三、周六8：00-11：00、13：00-18：00,86703737
213,甘井子区,辛寨子街道,春田社区,大连市甘井子区科技城D5,周三、周六8：00-11：00、13：00-18：00,86300800
214,甘井子区,辛寨子街道,由家社区,大连市甘井子区由家社区广场,周三、周六8：00-11：00、13：00-18：00,86762729-805
215,甘井子区,辛寨子街道,城市空间社区,大连市甘井子区城市空间社区左侧公建,周三、周六8：00-11：00、13：00-18：00,86300709
216,甘井子区,辛寨子街道,前革镇堡社区,大连市甘井子区新水泥路594号（前革老年之家）,周三、周六8：00-11：00、13：00-18：00,86735872
217,甘井子区,辛寨子街道,书香门第社区,大连市甘井子区魅力小学北侧小广场,周三、周六8：00-11：00、13：00-18：00,86308209
218,甘井子区,辛寨子街道,魅力社区,大连市甘井子区魅力社区党群服务中心侧门前,周三、周六8：00-11：00、13：00-18：00,39519698
219,甘井子区,辛寨子街道,大辛社区,大连市甘井子区东篱南山一期南门公建,周三、周六8：00-11：00、13：00-18：00,86302255、86301927
220,甘井子区,辛寨子街道,家家乐社区,大连市甘井子区家家乐公园广场（原瀑布广场）,周三、周六8：00-11：00、13：00-18：00,86310056
221,甘井子区,辛寨子街道,星语家社区,大连市甘井子区星语家社区核心价值观广场,周三、周六8：00-11：00、13：00-18：00,86992858
222,甘井子区,辛寨子街道,华鑫社区,大连市甘井子区辛寨子志愿服务文化广场,周三、周六8：00-11：00、13：00-18：00,86315636
223,甘井子区,辛寨子街道,美邻芳庭社区,大连市甘井子区美邻芳庭社区东侧公建虹港路463号,周三、周六8：00-11：00、13：00-18：00,86309606
224,甘井子区,辛寨子街道,美林园社区,大连市甘井子区美林公园,周三、周六8：00-11：00、13：00-18：00,39539298
225,甘井子区,辛寨子街道,美林庐社区,大连市甘井子区美林庐社区西侧空地,周三、周六8：00-11：00、13：00-18：00,39539298
226,甘井子区,辛寨子街道,城市之光社区筹备组,大连市甘井子区城光生活广场后身（一阳文具旁）,周三、周六8：00-11：00、13：00-18：00,17604116722
227,甘井子区,辛寨子街道,五郡社区,大连市甘井子区五郡社区门前广场,周三、周六8：00-11：00、13：00-18：00,86992533
228,甘井子区,辛寨子街道,辛归社区,大连市甘井子区辛归社区文明实践站,周三、周六8：00-11：00、13：00-18：00,86313100
229,甘井子区,辛寨子街道,春天里社区筹备组,大连市甘井子区三鼎春天C区中轴公建处,周三、周六8：00-11：00、13：00-18：00,86307820
230,甘井子区,辛寨子街道,士林栖社区,大连市甘井子区士林栖社区门前,周三、周六8：00-11：00、13：00-18：00,86303309
231,甘井子区,辛寨子街道,和合居社区,大连市甘井子区岭秀滨城售楼处,周三、周六8：00-11：00、13：00-18：00,86305807
232,甘井子区,辛寨子街道,清流坊社区,大连市甘井子区辛虹北园A区南门,周三、周六8：00-11：00、13：30-18：00,86819493
233,甘井子区,大连湾街道,湾富广场采样点,大连市甘井子区大连湾街道湾浦村湾富广场,周三、周六8：00-11：00、13：30-18：00,87102619
234,甘井子区,大连湾街道,福佳新城采样点,大连市甘井子区大连湾街道福佳新城韩浴洗浴旁公建,周三、周六8：00-11：00、13：30-18：00,66373013
235,甘井子区,大连湾街道,三合庭苑南园南门岗采样点,大连市甘井子区大连湾街道三合庭苑南园南门岗,周三、周六8：00-11：00、13：30-18：00,87119389
236,甘井子区,大连湾街道,后盐村卫生服务站采样点,大连市甘井子区黑大线后盐社区卫生站,周三、周六8：00-11：00、13：30-18：00,87111506
237,甘井子区,大连湾街道,后关社区采样点,大连市甘井子区大连湾街道后关村委会院内,周三、周六8：00-11：00、13：30-18：00,87106744
238,甘井子区,大连湾街道,棉花岛村委会采样点,大连市甘井子区大连湾街道棉花岛社区后院,周三、周六8：00-11：00、13：30-18：00,87109509
239,甘井子区,大连湾街道,刘屯名士大院采样点,大连市甘井子区大连湾街道大连湾村委会旁,周三、周六8：00-11：00、13：30-18：00,87605316
240,甘井子区,大连湾街道,三合庭院国际婴幼园采样点,大连市甘井子区大连湾街道三合庭院新冠疫苗接种点对面,周三、周六8：00-11：00、13：30-18：00,87116413
241,甘井子区,大连湾街道,前盐村委会采样点,大连市甘井子区大连湾街道前盐村民委员会西侧,周三、周六8：00-11：00、13：30-18：00,86413289
242,甘井子区,大连湾街道,苏家社区采样点,大连市甘井子区大连湾街道苏家村大广场,周三、周六8：00-11：00、13：30-18：00,87828057
243,甘井子区,大连湾街道,李家社区采样点1,大连市甘井子区大连湾街道俪泊园小区北门小广场,周三、周六8：00-11：00、13：30-18：00,87608388
244,甘井子区,大连湾街道,李家社区采样点2,大连市甘井子区大连湾街道李家社区中远服务中心小广场,周三、周六8：00-11：00、13：30-18：00,87608388
245,甘井子区,大连湾街道,通和社区采样点,大连市甘井子区大连湾街道益丰乾城营销中心北侧（益丰乾城小区公建）,周三、周六8：00-11：00、13：30-18：00,87254519
246,甘井子区,大连湾街道,化工新村社区采样点,大连市甘井子区大连湾街道红枫园小区北门3号楼公建,周三、周六8：00-11：00、13：30-18：00,87111700
247,甘井子区,大连湾街道,前关社区采样点,大连市甘井子区大连湾街道万客隆超市对面公建,周三、周六8：00-11：00、13：30-18：00,87115121
248,甘井子区,大连湾街道,元宝山广场采样点,大连市甘井子区大连湾街道元宝山广场,周三、周六8：00-11：00、13：30-18：00,87603033
249,甘井子区,大连湾街道,宇圣明珠B区采样点,大连市甘井子区大连湾街道宇圣明珠B区公建,周三、周六8：00-11：00、13：30-18：00,87603433
250,甘井子区,大连湾街道,大房身社区楼区广场采样点,大连市甘井子区大连湾街道大房身楼区广场,周三、周六8：00-11：00、13：30-18：00,87121588
251,甘井子区,大连湾街道,丽湾海景社区采样点,大连市甘井子区丽湾海景社区居民委员会,周三、周六8：00-11：00、13：30-18：00,87254659
252,甘井子区,大连湾街道,宋家小广场采样点,大连市甘井子区大连湾街道宋家小广场,周三、周六8：00-11：00、13：30-18：00,87109527
253,甘井子区,大连湾街道,欣家园一区采样点,大连市甘井子区大连湾街道欣家园一区广场,周三、周六8：00-11：00、13：30-18：00,87602077
254,甘井子区,大连湾街道,毛茔子社区联合会采样点,大连市甘井子区大连湾街道原毛茔子农业办院内,周三、周六8：00-11：00、13：00-18：00,87113334
255,甘井子区,椒金山街道,矿北社区核酸点位,大连市甘井子区石北街16号 楼后,周三、周六8：00-11：00、13：00-18：00,66859109
256,甘井子区,椒金山街道,金成社区核酸点位,大连市甘井子区金成社区门前 樱花园13号楼对面变电所后身对面平房,周三、周六8：00-11：00、13：00-18：00,66870386
257,甘井子区,椒金山街道,金山社区核酸点位,大连市甘井子区华龙南园56号楼（金山社区门前）,周三、周六8：00-11：00、13：00-18：00,66870139
258,甘井子区,椒金山街道,金香社区核酸点位,大连市甘井子区祥龙西园11号楼一层公建,周三、周六8：00-11：00、13：00-18：00,62497128
259,甘井子区,椒金山街道,金荣社区核酸点位,大连市甘井子区祥龙南园1号楼公建（金荣社区门前）,周三、周六8：00-11：00、13：00-18：00,66870135
260,甘井子区,椒金山街道,龙江社区核酸点位,大连市甘井子区祥龙南街17号（龙江社区门前）,周三、周六8：00-11：00、13：00-18：00,66857200
261,甘井子区,椒金山街道,金华社区核酸点位,大连市甘井子区金山园13号公建金华社区党群服务中心,周三、周六8：00-11：00、13：00-18：00,62497059
262,甘井子区,椒金山街道,金龙社区核酸点位,大连市甘井子区黄山路3A(金龙社区门前),周三、周六8：00-11：00、13：00-18：00,62911961
263,甘井子区,椒金山街道,椒东社区核酸点位,大连市甘井子区椒东街24号党建广场,周三、周六8：00-11：00、13：00-18：00,62909953
264,甘井子区,椒金山街道,椒中社区核酸点位,大连市甘井子区椒房街552号,周三、周六8：00-11：00、13：00-18：00,62909920
265,甘井子区,椒金山街道,椒北社区核酸点位,大连市甘井子区椒中街26号椒北社区门前,周三、周六8：00-11：00、13：00-18：00,66874199
266,甘井子区,椒金山街道,金峰社区核酸点位,大连市甘井子区金三街79-81号社区门前,周三、周六8：00-11：00、13：00-18：00,62907678
267,甘井子区,椒金山街道,金源社区核酸点位,大连市甘井子区金荣路2号公建,周三、周六8：00-11：00、13：00-18：00,62941599
268,甘井子区,椒金山街道,金贸社区核酸点位,大连市甘井子区金岗街56号（金贸社区西侧文翰培训学校旁）,周三、周六8：00-11：00、13：00-18：00,66895069
269,甘井子区,椒金山街道,金旺社区核酸点位,大连市甘井子区金一街小树林（807车站）,周三、周六8：00-11：00、13：00-18：00,66859399
270,甘井子区,椒金山街道,金泉社区核酸点位,大连市甘井子区万福园104-6金泉社区门前,周三、周六8：00-11：00、13：00-18：00,66895066
271,甘井子区,椒金山街道,青秀蓝湾社区核酸点位,大连市甘井子区万吉东园33-5（青秀蓝湾社区门前广场）,周三、周六8：00-11：00、13：00-18：00,68837531
272,甘井子区,泉水街道,怡佳社区采样点,大连市甘井子区泉水P1-14公建（原旺顺超市）,周三、周六8：00-11：00、13：30-18：00,39042502
273,甘井子区,泉水街道,泉华社区采样点,大连市甘井子区泉华社区门前处,周三、周六8：00-11：00、13：30-18：00,39047160
274,甘井子区,泉水街道,幸福社区采样点,大连市甘井子区泉水E3区42号楼3单元北侧,周三、周六8：00-11：00、13：30-18：00,86405507
275,甘井子区,泉水街道,龙河社区采样点,大连市甘井子区泉水D1区25号楼广场,周三、周六8：00-11：00、13：30-18：00,86434349
276,甘井子区,泉水街道,泉欣社区采样点,大连市甘井子区泉水N4区6号楼泉欣社区东侧,周三、周六8：00-11：00、13：30-18：00,39042608
277,甘井子区,泉水街道,锦泉社区采样点,大连市甘井子区泉水B1区41号楼东侧原爱心超市,周三、周六8：00-11：00、13：30-18：00,39047131
278,甘井子区,泉水街道,滨河社区采样点,大连市甘井子区泉水P3-44号公租房卫生服务站门前,周三、周六8：00-11：00、13：30-18：00,39040500
279,甘井子区,泉水街道,奥林社区采样点,大连市甘井子区泉水奥林园东门岗活动板房,周三、周六8：00-11：00、13：30-18：00,86443725
280,甘井子区,泉水街道,龙鑫社区采样点,大连市甘井子区泉水H3区音乐广场,周三、周六8：00-11：00、13：30-18：00,39506654
281,甘井子区,泉水街道,泉悦社区采样点,大连市甘井子区泉水N2区8A广场,周三、周六8：00-11：00、13：30-18：00,86413994
282,甘井子区,泉水街道,丽城社区采样点,大连市甘井子区泉水D6区21-1公建原安鑫地产,周三、周六8：00-11：00、13：30-18：00,39048843
283,甘井子区,泉水街道,龙园社区采样点,大连市甘井子区泉水k2区47号公建,周三、周六8：00-11：00、13：30-18：00,39645338
284,甘井子区,泉水街道,骏腾社区采样点,大连市甘井子区泉水润泽园16、17广场,周三、周六8：00-11：00、13：30-18：00,86442127
285,甘井子区,机场街道,南松社区采样点,大连市甘井子区锦华小学后身南松社区门前,周三、周六8：00-11：00、13：30-18：00,86905408
286,甘井子区,机场街道,昌虹社区采样点,大连市甘井子区雅林街12号橄榄季小区西门,周三、周六8：00-11：00、13：30-18：00,86315580
287,甘井子区,机场街道,民航社区采样点,大连市甘井子区虹港路8号，铜锣湾、笑哈哈超市对面,周三、周六8：00-11：00、13：30-18：00,86859760
288,甘井子区,机场街道,郭中社区采样点,大连市甘井子区金寓花园三期南门（原东北老菜馆）,周三、周六8：00-11：00、13：30-18：00,86813630
289,甘井子区,机场街道,金星社区采样点,大连市甘井子区贤林街49-6,周三、周六8：00-11：00、13：30-18：00,86655885
290,甘井子区,机场街道,圣林社区采样点,大连市甘井子区虹彩东园圣林社区院内,周三、周六8：00-11：00、13：30-18：00,86403189
291,甘井子区,机场街道,郭东社区采样点,大连市甘井子区锦润园69号楼旁门前,周三、周六8：00-11：00、13：30-18：00,84172887
292,甘井子区,机场街道,蓝天社区采样点,大连市甘井子区蓝天北街48-2，蓝天社区北侧50米,周三、周六8：00-11：00、13：30-18：00,86656316
293,甘井子区,机场街道,南山社区采样点,大连市甘井子区南华街82-2,周三、周六8：00-11：00、13：30-18：00,86437011
294,甘井子区,机场街道,郭北社区采样点,大连市甘井子区迎客路7号一品蓝天西门,周三、周六8：00-11：00、13：30-18：00,86706226
295,甘井子区,机场街道,观贤社区采样点,大连市甘井子区圣林街东市商业街34号附近,周三、周六8：00-11：00、13：30-18：00,13164529047
296,甘井子区,南关岭街道,北市万家点位,大连市甘井子区南关岭街道南关岭路66号,周三、周六8：00-11：00、13：30-18：00,88250235
297,甘井子区,南关岭街道,万锦民悦一期东门岗,大连市甘井子区南关岭街道万锦民悦一期东门岗,周三、周六8：00-11：00、13：30-18：00,84177136
298,甘井子区,南关岭街道,井西社区大平台,大连市甘井子区南关岭街道悦岭街106号,周三、周六8：00-11：00、13：30-18：00,86415955
299,甘井子区,南关岭街道,云岭北园公建,大连市甘井子区南关岭街道云岭北园公建西侧,周三、周六8：00-11：00、13：30-18：00,39519601
300,甘井子区,南关岭街道,圣泰社区北侧小广场,大连市甘井子区南关岭街道川岭路南岭花园,周三、周六8：00-11：00、13：30-18：00,86554296
301,甘井子区,南关岭街道,兴南社区,大连市甘井子区南关岭街道秀岭街55号,周三、周六8：00-11：00、13：30-18：00,88152711
302,甘井子区,南关岭街道,姚兴社区,大连市甘井子区南关岭街道姚家路10号楼后身姚兴社区居委会一楼,周三、周六8：00-11：00、13：30-18：00,86884187
303,甘井子区,南关岭街道,姚宏睦邻广场,大连市甘井子区南关岭街道姚胜街24号楼东侧,周三、周六8：00-11：00、13：30-18：00,86888183
304,甘井子区,南关岭街道,姚盛社区东侧公建,大连市甘井子区南关岭街道姚盛社区东侧,周三、周六8：00-11：00、13：30-18：00,88250315
305,甘井子区,南关岭街道,新北广场采样点,大连市甘井子区南关岭街道姚源社区旁,周三、周六8：00-11：00、13：30-18：00,86888182
306,甘井子区,南关岭街道,中华城社区采样点,大连市甘井子区南关岭街道玉岭南园2-4公建,周三、周六8：00-11：00、13：30-18：00,88250115
307,甘井子区,南关岭街道,招商公园1872采样点,大连市甘井子区招商公园1872一期乐哈哈超市旁公建,周三、周六8：00-11：00、13：30-18：00,86554296
308,甘井子区,南关岭街道,万锦公馆采样点,大连市甘井子区万锦公馆二期南侧公建，霞岭中园61－16,周三、周六8：00-11：00、13：30-18：00,88250941
309,甘井子区,南关岭街道,万科翡翠都会采样点,大连市甘井子区南关岭街道奥艺街5-8,周三、周六8：00-11：00、13：30-18：00,86554296
310,甘井子区,周水子街道,周西社区采样点,大连市甘井子区周水子街道骏达绅士花园对面工地院内,周三、周六8：00-11：00、13：30-18：00,86895749
311,甘井子区,周水子街道,周南社区采样点,大连市甘井子区周水子街道府佳名都停车场,周三、周六8：00-11：00、13：30-18：00,86649059
312,甘井子区,周水子街道,周东社区采样点,大连市甘井子区周水子街道红咀街34号楼北周东社区活动室,周三、周六8：00-11：00、13：30-18：00,86578429
313,甘井子区,周水子街道,鹏辉社区采样点,大连市甘井子区周水子街道鹏辉3号岗北院车库,周三、周六8：00-11：00、13：30-18：00,86779059
314,甘井子区,周水子街道,亿达社区采样点,大连市甘井子区周水子街道促进路159号,周三、周六8：00-11：00、13：30-18：00,39563964
315,甘井子区,周水子街道,周兴社区采样点,大连市甘井子区周水子街道大连爱康综合门诊部后身 周兴社区活动室,周三、周六8：00-11：00、13：30-18：00,39991687
316,甘井子区,周水子街道,周发社区采样点,大连市甘井子区周水子街道周山街16号,周三、周六8：00-11：00、13：30-18：00,86647989
317,甘井子区,周水子街道,周强社区采样点,大连市甘井子区周水子街道大连门广场12号前小广场,周三、周六8：00-11：00、13：30-18：00,86666059
318,甘井子区,周水子街道,星加坡社区采样点,大连市甘井子区周水子街道华北路花锦园34号楼前网球场,周三、周六8：00-11：00、13：30-18：00,66306285
319,甘井子区,周水子街道,周水子社区采样点,大连市甘井子区周水子街道鼎山公园北门,周三、周六8：00-11：00、13：30-18：00,66865776
320,甘井子区,周水子街道,周盛社区采样点,大连市甘井子区周水子街道周家街16号,周三、周六8：00-11：00、13：30-18：00,86731141
321,甘井子区,周水子街道,壹品天城社区采样点,大连市甘井子区周水子街道芳韵街70号老四活羊烧烤后身,周三、周六8：00-11：00、13：30-18：00,88158204
322,甘井子区,周水子街道,周顺社区采样点,大连市甘井子区周水子街道东北名苑小区广场,周三、周六8：00-11：00、13：30-18：00,86730749
323,甘井子区,周水子街道,周北社区采样点,大连市甘井子区周水子街道王桥街40号楼前小广场,周三、周六8：00-11：00、13：30-18：00,86658604
324,甘井子区,周水子街道,绿洲社区采样点,大连市甘井子区周水子街道绿洲会所楼前,周三、周六8：00-11：00、13：30-18：00,86717673
325,甘井子区,周水子街道,万科社区采样点,大连市甘井子区周水子街道高云北路32-6,周三、周六8：00-11：00、13：30-18：00,66865780
326,甘井子区,营城子街道,雁栖渡社区采样点,大连市甘井子区营城子街道雁栖渡一期7号楼-10号楼之间广场,周三、周六8：00-11：00、13：30-18：00,86696506
327,甘井子区,营城子街道,牧城驿社区采样点,大连市甘井子区营城子街道中海凤凰熙岸二期北门活动室,周三、周六8：00-11：00、13：30-18：00,86696911
328,甘井子区,营城子街道,华侨农场社区采样点,大连市甘井子区营城子街道大连华侨果树农场院内,周三、周六8：00-11：00、13：30-18：00,86691549
329,甘井子区,营城子街道,前牧村采样点,大连市甘井子区营城子街道驿城新居广场,周三、周六8：00-11：00、13：30-18：00,86740124
330,甘井子区,营城子街道,后牧村采样点,大连市甘井子区营城子街道后牧城驿村土羊回迁楼物业广场,周三、周六8：00-11：00、13：30-18：00,86751396
331,甘井子区,营城子街道,沙岗子村采样点,大连市甘井子区营城子街道沙岗新居4、5号公建,周三、周六8：00-11：00、13：30-18：00,86701999
332,甘井子区,营城子街道,营城子村庙前广场采样点,大连市甘井子区营城子街道永兴寺门前广场,周三、周六8：00-11：00、13：30-18：00,86696996
333,甘井子区,营城子街道,营城子村回迁楼采样点,大连市甘井子区营城子街道营城子村回迁楼,周三、周六8：00-11：00、13：30-18：00,86696996
334,甘井子区,营城子街道,对门沟村采样点,大连市甘井子区营城子街道果品交易市场,周三、周六8：00-11：00、13：30-18：00,86690808
335,甘井子区,营城子街道,郭家沟村采样点,大连市甘井子区营城子街道郭家沟村老年活动室,周三、周六8：00-11：00、13：30-18：00,86691541
336,甘井子区,营城子街道,秀山丽水社区采样点,大连市甘井子区营城子街道盛世年华广场东南侧停车场,周三、周六8：00-11：00、13：30-18：00,86407912
337,甘井子区,营城子街道,东小磨子村采样点,大连市甘井子区营城子街道东小磨子村委会东侧,周三、周六8：00-11：00、13：30-18：00,66880988
338,甘井子区,营城子街道,西小磨村采样点,大连市甘井子区营城子街道西小磨子村委会党建中心,周三、周六8：00-11：00、13：30-18：00,86690870
339,甘井子区,营城子街道,金龙寺沟村采样点,大连市甘井子区营城子街道金龙欣悦园公建,周三、周六8：00-11：00、13：30-18：00,86695909
340,甘井子区,营城子街道,双台沟村采样点,大连市甘井子区营城子街道双台沟村委会前广场,周三、周六8：00-11：00、13：30-18：00,86704955
341,甘井子区,营城子街道,大黑石村采样点,大连市甘井子区营城子街道大黑石村委会门前广场,周三、周六8：00-11：00、13：30-18：00,86760057
342,甘井子区,泡崖街道,金兴社区愿检尽检采样点,大连市甘井子区泡崖街道金兴街1号楼北侧（金兴社区党群之家）,周三、周六8：00-11：30 、13：00-18：00,86498872
343,甘井子区,泡崖街道,新盛社区愿检尽检采样点,大连市甘井子区泡崖街道新达街13号（新盛社区党群服务中心）,周三、周六8：00-11：30 、13：00-18：00,86497456
344,甘井子区,泡崖街道,玉胜社区愿检尽检采样点,大连市甘井子区泡崖街道玉玉云路17-13号之间（玉胜社区红色驿站）,周三、周六8：00-11：30 、13：00-18：00,86492157
345,甘井子区,泡崖街道,岭南社区愿检尽检采样点,大连市甘井子区泡崖街道玉山路222号泡崖派出所对面岭南社区东侧,周三、周六8：00-11：30 、13：00-18：00,86470375
346,甘井子区,泡崖街道,欣乐社区愿检尽检采样点,大连市甘井子区泡崖街道伟业西街2号楼北（欣乐社区西街话吧）,周三、周六8：00-11：30 、13：00-18：00,85990068
347,甘井子区,泡崖街道,玉峰社区愿检尽检采样点,大连市甘井子区泡崖街道宇峰花园玉学街7号旁,周三、周六8：00-11：30 、13：00-18：00,86488440
348,甘井子区,泡崖街道,玉乐社区愿检尽检采样点,大连市甘井子区泡崖街道宏乐街10号西侧（九匹马广场）,周三、周六8：00-11：30 、13：00-18：00,86488425
349,甘井子区,泡崖街道,万众社区愿检尽检采样点,大连市甘井子区泡崖街道玉丽街43号,周三、周六8：00-11：30 、13：00-18：00,86470391
350,甘井子区,泡崖街道,玉山社区愿检尽检采样点,大连市甘井子区泡崖街道玉浓街100号楼（玉山社区活动室）,周三、周六8：00-11：30 、13：00-18：00,39726404
351,甘井子区,泡崖街道,岭西社区愿检尽检采样点,大连市甘井子区玉水街1号（岭西社区北侧垃圾分类广场）,周三、周六8：00-11：30 、13：00-18：00,86100659
352,甘井子区,泡崖街道,湖西社区愿检尽检采样点,大连市甘井子区泡崖街道玉池街49号西侧（湖西社区党群服务中心）,周三、周六8：00-11：30 、13：00-18：00,86463937
353,甘井子区,泡崖街道,康馨社区愿检尽检采样点,大连市甘井子区泡崖街道玉带路19A新兴物业前小广场,周三、周六8：00-11：30 、13：00-18：00,86467841
354,甘井子区,泡崖街道,康盛社区愿检尽检采样点,大连市甘井子区玉浓街146号（乐高洗浴南侧）,周三、周六8：00-11：30 、13：00-18：00,86990593
355,甘井子区,泡崖街道,康顺社区愿检尽检采样点,大连市甘井子区泡崖街道玉浓街200号楼京东便利店旁边（心连心驿站）,周三、周六8：00-11：30 、13：00-18：00,86988502
356,甘井子区,泡崖街道,康泉社区愿检尽检采样点,大连市甘井子区玉湖街31-3公建西侧,周三、周六8：00-11：30 、13：00-18：00,86990837
357,甘井子区,泡崖街道,润佳社区愿检尽检采样点,大连市甘井子区泡崖街道二十四城C区16号楼西侧（润佳社区党群服务中心）,周三、周六8：00-11：30 、13：00-18：00,81261332
358,甘井子区,甘井子街道,海鸥社区核酸采样点,大连市甘井子区海北路2号,周三、周六8：00-11：00、13：00-18：00,86680146
359,甘井子区,甘井子街道,甘欣社区核酸采样点,大连市甘井子区樱花北园23-4号,周三、周六8：00-11：00、13：00-18：00,84460260
360,甘井子区,甘井子街道,六闾社区核酸采样点,大连市甘井子区山中街72号楼前小广场,周三、周六8：00-11：00、13：00-18：00,86672549
361,甘井子区,甘井子街道,甘园社区核酸采样点,大连市甘井子区众恒家园物业杨柳街29号公建,周三、周六8：00-11：00、13：00-18：00,86678706
362,甘井子区,甘井子街道,东山社区核酸采样点,大连市甘井子区甘海路东山樱花园旁二层楼,周三、周六8：00-11：00、13：00-18：00,86672480
363,甘井子区,甘井子街道,海湾社区核酸采样点,大连市甘井子区钻石湾三期春妮粥铺旁公建内,周三、周六8：00-11：00、13：00-18：00,18842852759
364,甘井子区,甘井子街道,甘中社区核酸采样点,大连市甘井子区文体街转盘,周三、周六8：00-11：00、13：00-18：00,86783122
365,甘井子区,甘井子街道,七星社区核酸采样点,大连市甘井子区七星广场,周三、周六8：00-11：00、13：00-18：00,86671560
366,甘井子区,甘井子街道,甘峰社区核酸采样点,大连市甘井子区甘峰社区党群服务站,周三、周六8：00-11：00、13：00-18：00,66882007
367,甘井子区,甘井子街道,海燕社区核酸采样点,大连市甘井子区海北路14号楼北侧,周三、周六8：00-11：00、13：00-18：00,86680327
368,甘井子区,甘井子街道,光明社区核酸采样点,大连市甘井子区山花街地铁广场采样点,周三、周六8：00-11：00、13：00-18：00,81120809  81120809
369,甘井子区,甘井子街道,松山社区核酸采样点,大连市甘井子区松山社区文化广场侧,周三、周六8：00-11：00、13：00-18：00,86672377
370,甘井子区,甘井子街道,滨海社区核酸采样点,大连市甘井子区和信街与万虹街路口点位,周三、周六8：00-11：00、13：00-18：00,81711636
371,甘井子区,甘井子街道,海茂社区核酸采样点,大连市甘井子区海茂社区院内活动室,周三、周六8：00-11：00、13：00-18：00,86681620
372,甘井子区,甘井子街道,站前社区核酸采样点,大连市甘井子区光明院党群之家,周三、周六8：00-11：00、13：00-18：00,86674262
373,甘井子区,甘井子街道,甘南社区核酸采样点,大连市甘井子区天下粮仓下沉广场采样点,周三、周六8：00-11：00、13：00-18：00,81120410
374,甘井子区,甘井子街道,甘泉社区核酸采样点,大连市甘井子区钰桥中央庭院小区,周三、周六8：00-11：00、13：00-18：00,81711669
375,甘井子区,革镇堡街道,中革停车场采样点,大连市甘井子区中革停车场,周三、周六8：00-11：00、13：30-18：00,15698875001
376,甘井子区,革镇堡街道,棋盛园26号楼公建采样点,大连市甘井子区革镇堡街道棋盛园26号楼公建,周三、周六8：00-11：00、13：30-18：00,13940909770
377,甘井子区,革镇堡街道,招商海德B区东侧公建采样点,大连市甘井子区革镇堡街道招商海德公园B区东侧公建,周三、周六8：00-11：00、13：30-18：00,66865682
378,甘井子区,革镇堡街道,羊圈子村名成广隆采样点,大连市甘井子区革镇堡街道羊圈子村名成广隆采样点,周三、周六8：00-11：00、13：30-18：00,15714114701
379,甘井子区,革镇堡街道,老夏家河子村委会采样点,大连市甘井子区夏泊路1号老夏家河子村委会院内,周三、周六8：00-11：00、13：30-18：00,13898433177
380,甘井子区,革镇堡街道,中航华府物业中心旁采样点,大连市甘井子区中航华府物业中心旁,周三、周六8：00-11：00、13：30-18：00,66865695
381,甘井子区,中华路街道,华中社区核酸采样点,大连市甘井子区华中街29号华中社区门前,周三、周六8：00-11：00、13：30-18：00,86588835
382,甘井子区,中华路街道,金钢社区核酸采样点,大连市甘井子区金工街10号,周三、周六8：00-11：00、13：30-18：00,86602636
383,甘井子区,中华路街道,金宇社区核酸采样点,大连市甘井子区芙蓉人家小区东门,周三、周六8：00-11：00、13：30-18：00,86899679
384,甘井子区,中华路街道,华岳社区核酸采样点,大连市甘井子区静林路6号华岳社区（千山心城广场）,周三、周六8：00-11：00、13：30-18：00,86863449
385,甘井子区,中华路街道,华振社区核酸采样点,大连市甘井子区千山路51号楼后平房华振社区门前,周三、周六8：00-11：00、13：30-18：00,86578107
386,甘井子区,中华路街道,永昌社区核酸采样点,大连市甘井子区七秀路32号楼东侧康乐园广场,周三、周六8：00-11：00、13：30-18：00,62625516
387,甘井子区,中华路街道,秀山社区核酸采样点,大连市甘井子区秀水路75-5,周三、周六8：00-11：00、13：30-18：00,86869576
388,甘井子区,中华路街道,梅山社区核酸采样点,大连市甘井子区苍山路51号甘井子区委党校,周三、周六8：00-11：00、13：30-18：00,62625518
389,甘井子区,中华路街道,六顺社区核酸采样点,大连市甘井子区六一路13号六顺社区楼外,周三、周六8：00-11：00、13：30-18：00,62625519
390,甘井子区,中华路街道,兴国社区核酸采样点,大连市甘井子区兴华路60-1兴国社区楼下,周三、周六8：00-11：00、13：30-18：00,62625511
